Library, PyQt5
Time [s], Voltage [V]
422.0, 0.00000
423.0, 0.00000
424.0, 0.00000
425.0, 0.00000
426.0, 0.00000
427.0, 0.00000
428.0, 0.00000
429.0, 0.00000
430.0, 0.00000
431.0, 0.00000
432.0, 0.00000
433.0, 0.00000
434.0, 0.00000
435.0, 4.51124
436.0, 4.43304
437.0, 4.51613
438.0, 4.42815
439.0, 4.52102
440.0, 4.43793
441.0, 4.52590
442.0, 4.43793
443.0, 4.51613
444.0, 4.43793
445.0, 4.52102
446.0, 4.43304
447.0, 4.51613
448.0, 4.43304
449.0, 4.51613
450.0, 4.43793
451.0, 4.51124
452.0, 4.43793
453.0, 4.52102
454.0, 4.43304
455.0, 4.52102
456.0, 4.43304
457.0, 4.51613
458.0, 4.43793
459.0, 4.51124
460.0, 4.43304
461.0, 4.52102
462.0, 4.43304
463.0, 4.51613
464.0, 4.43304
465.0, 4.51124
466.0, 4.43793
467.0, 4.51124
468.0, 4.43304
469.0, 4.51124
470.0, 4.42815
471.0, 4.51613
472.0, 4.43304
473.0, 4.50635
474.0, 4.42815
475.0, 4.51613
476.0, 4.43793
477.0, 4.51613
478.0, 4.42815
479.0, 4.51613
480.0, 4.43793
481.0, 4.51124
482.0, 4.43304
483.0, 4.51613
484.0, 4.43304
485.0, 4.51613
486.0, 4.43304
487.0, 4.50635
488.0, 4.43304
489.0, 4.51124
490.0, 4.43793
491.0, 4.51124
492.0, 4.42815
493.0, 4.52102
494.0, 4.43793
495.0, 4.51613
496.0, 4.43304
497.0, 4.51613
498.0, 3.03519
499.0, 0.00000
500.0, 0.00000
501.0, 0.00000
502.0, 0.00000
503.0, 0.00000
504.0, 0.00000
505.0, 0.00000
506.0, 0.00000
507.0, 0.00000
508.0, 0.00000
509.0, 0.00000
510.0, 0.00000
511.0, 0.00000
512.0, 0.00000
513.0, 0.00000
514.0, 0.00000
515.0, 0.00000
516.0, 0.00000
517.0, 0.00000
518.0, 0.00000
519.0, 0.00000
520.0, 0.00000
521.0, 0.00000
522.0, 0.00000
523.0, 0.00000
524.0, 0.00000
525.0, 0.00000
526.0, 0.00000
527.0, 0.00000
528.0, 0.00000
529.0, 5.00000
530.0, 4.99511
531.0, 5.00000
532.0, 4.99511
533.0, 5.00000
534.0, 4.99511
535.0, 5.00000
536.0, 5.00000
537.0, 5.00000
538.0, 4.99511
539.0, 5.00000
